DELTA-T LOGGER
R-Nachbau der Loggerdateien, um Delta-T Dateien oder anderen Loggerdateiformate mit Flag-Splaten in die Level2 Datenbank hochzuladen. Autor:Marvin Lorff, Ausgabe durch Funktion: write.fwf2()
01/01 00:00:00
31/03 23:30:00
Start_Year: 2021
Channel number,,,,,,,
Sensor code,,,,,,,
          Datum, CO3_Kanäle,            FWINDXXX,          FREGENXX,         FReLuxxx,            FTempxxx,           FGlobalx
Units,,,,,,,
Minimum value,,,,,,,
Maximum value,,,,,,,
05/01 12:00:00 ,          5,               0.198,               0.0,           87.350,               -4.30,              15.52
05/01 12:30:00 ,          5,               0.155,               0.0,           88.470,               -4.20,              12.83
05/01 13:00:00 ,          5,               0.748,               0.0,           90.370,               -4.20,              11.88
05/01 13:30:00 ,          5,               0.969,               0.0,           91.240,               -4.25,               9.80
05/01 14:00:00 ,          5,               0.878,               0.0,           91.290,               -4.15,               9.42
05/01 14:30:00 ,          5,               0.789,               0.0,           91.190,               -4.15,               8.67
05/01 15:00:00 ,          5,               0.855,               0.0,           91.750,               -4.20,               6.59
05/01 15:30:00 ,          5,               1.163,               0.0,           92.060,               -4.35,               5.83
05/01 16:00:00 ,          5,               1.174,               0.0,           92.360,               -4.45,               3.18
05/01 16:30:00 ,          5,               1.475,               0.0,           93.340,               -4.45,               1.13
05/01 17:00:00 ,          5,               0.421,               0.0,           93.900,               -4.30,               0.03
05/01 17:30:00 ,          5,               0.031,               0.0,           93.700,               -4.20,               0.03
05/01 18:00:00 ,          5,               0.324,               0.0,           94.310,               -4.25,               0.03
05/01 18:30:00 ,          5,               0.219,               0.0,           95.230,               -4.20,               0.03
05/01 19:00:00 ,          5,               0.087,               0.0,           95.800,               -4.25,               0.03
05/01 19:30:00 ,          5,               0.079,               0.0,           96.310,               -4.20,               0.03
05/01 20:00:00 ,          5,               0.087,               0.0,           97.280,               -4.25,               0.03
05/01 20:30:00 ,          5,               0.134,               0.0,           98.150,               -4.25,               0.03
05/01 21:00:00 ,          5,               0.019,               0.0,           98.510,               -4.15,               0.03
05/01 21:30:00 ,          5,               0.643,               0.0,           98.360,               -3.84,               0.03
05/01 22:00:00 ,          5,               0.486,               0.0,           97.840,               -3.79,               0.03
05/01 22:30:00 ,          5,               0.370,               0.0,           98.300,               -3.94,               0.03
05/01 23:00:00 ,          5,               0.176,               0.0,           97.690,               -3.89,               0.03
05/01 23:30:00 ,          5,               0.851,               0.0,           98.100,               -3.84,               0.03
06/01 00:00:00 ,          5,               0.667,               0.0,           98.050,               -3.58,               0.03
06/01 00:30:00 ,          5,               0.773,               0.0,           97.020,               -3.43,               0.03
06/01 01:00:00 ,          5,               0.335,               0.0,           96.920,               -3.43,               0.03
06/01 01:30:00 ,          5,               0.341,               0.0,           97.640,               -3.58,               0.03
06/01 02:00:00 ,          5,               0.248,               0.0,           98.360,               -3.64,               0.03
06/01 02:30:00 ,          5,               0.176,               0.0,           98.970,               -3.99,               0.03
06/01 03:00:00 ,          5,               0.605,               0.0,           99.120,               -3.48,               0.03
06/01 03:30:00 ,          5,               0.124,               0.0,           98.970,               -3.89,               0.03
06/01 04:00:00 ,          5,               0.192,               0.0,           99.330,               -3.94,               0.03
06/01 04:30:00 ,          5,               0.118,               0.0,           99.480,               -3.89,               0.03
06/01 05:00:00 ,          5,               0.019,               0.0,           99.070,               -3.79,               0.03
06/01 05:30:00 ,          5,               0.008,               0.0,           99.120,               -3.64,               0.03
06/01 06:00:00 ,          5,               0.058,               0.0,           99.740,               -3.84,               0.03
06/01 06:30:00 ,          5,               0.000,               0.0,           99.790,               -3.84,               0.03
06/01 07:00:00 ,          5,               0.000,               0.0,           99.790,               -3.84,               0.03
06/01 07:30:00 ,          5,               0.000,               0.0,           99.790,               -3.74,               0.03
06/01 08:00:00 ,          5,               0.002,               0.0,           99.790,               -3.74,               0.03
06/01 08:30:00 ,          5,               0.213,               0.0,           99.790,               -3.53,               0.03
06/01 09:00:00 ,          5,               0.066,               0.0,           99.790,               -3.48,               1.34
06/01 09:30:00 ,          5,               0.351,               0.0,           99.790,               -3.43,               3.21
06/01 10:00:00 ,          5,               0.343,               0.0,           99.790,               -3.43,               3.59
06/01 10:30:00 ,          5,               0.335,               0.0,           99.790,               -3.43,               6.96
06/01 11:00:00 ,          5,               0.258,               0.0,           99.790,               -3.33,               7.72
06/01 11:30:00 ,          5,               0.318,               0.0,           99.790,               -3.33,               9.04
06/01 12:00:00 ,          5,               0.341,               0.0,           99.790,               -3.12,              16.80
06/01 12:30:00 ,          5,               0.413,               0.0,           99.790,               -3.02,              16.42
06/01 13:00:00 ,          5,               0.452,               0.0,           99.790,               -2.92,              16.42
06/01 13:30:00 ,          5,               0.583,               0.0,           99.790,               -2.92,              16.42
06/01 14:00:00 ,          5,               0.326,               0.0,           99.790,               -2.87,              11.88
06/01 14:30:00 ,          5,               0.298,               0.0,           99.790,               -2.97,               9.99
06/01 15:00:00 ,          5,               0.273,               0.0,           99.690,               -2.92,              10.56
06/01 15:30:00 ,          5,               0.545,               0.0,           99.790,               -3.02,               7.53
06/01 16:00:00 ,          5,               0.176,               0.0,           99.790,               -3.02,               4.13
06/01 16:30:00 ,          5,               0.353,               0.0,           99.790,               -3.17,               0.72
06/01 17:00:00 ,          5,               0.380,               0.0,           99.790,               -3.28,               0.03
06/01 17:30:00 ,          5,               0.463,               0.0,           99.790,               -3.43,               0.03
06/01 18:00:00 ,          5,               0.312,               0.0,           99.790,               -3.38,               0.03
06/01 18:30:00 ,          5,               0.479,               0.0,           99.790,               -3.43,               0.03
06/01 19:00:00 ,          5,               0.312,               0.0,           99.790,               -3.48,               0.03
06/01 19:30:00 ,          5,               0.380,               0.0,           99.790,               -3.38,               0.03
06/01 20:00:00 ,          5,               0.295,               0.0,           99.790,               -3.33,               0.03
06/01 20:30:00 ,          5,               0.508,               0.0,           99.790,               -3.33,               0.03
06/01 21:00:00 ,          5,               0.479,               0.0,           99.790,               -3.38,               0.03
06/01 21:30:00 ,          5,               0.345,               0.0,           99.790,               -3.33,               0.03
06/01 22:00:00 ,          5,               0.341,               0.0,           99.790,               -3.33,               0.03
06/01 22:30:00 ,          5,               0.105,               0.0,           99.790,               -3.28,               0.03
06/01 23:00:00 ,          5,               0.233,               0.0,           99.790,               -3.23,               0.03
06/01 23:30:00 ,          5,               0.025,               0.0,           99.790,               -3.17,               0.03
